Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar,RPM,Current_A,Voltage_V,Operating_Hours,Load_Percentage,Maintenance_Count,Last_Maintenance_Days,Failure_History,Machine_Status
M00135,58.97,2.61,89.48,2959,9.05,385.87,875,50.34,3,82,No,Normal
M00136,88.6,3.64,82.44,3307,10.79,395.68,5191,53.04,3,188,No,Normal
M00137,60.6,2.35,89.46,2326,9.01,444.12,5611,55.81,5,114,No,Normal
M00138,66.14,1.2,106.88,3752,7.29,447.19,6734,52.22,1,142,Yes,Normal
M00139,79.76,6.33,78.31,1785,8.52,361.09,4473,59.53,1,101,No,Normal
M00140,55.23,2.17,80.73,3393,10.7,399.85,7504,79.76,3,194,No,Fault
M00141,72.73,4.18,87.44,3122,9.1,434.54,7304,70.82,4,80,No,Normal
M00142,85.69,5.86,81.8,2309,8.49,412.05,4002,50.49,3,144,No,Normal
M00143,50.71,3.39,58.2,2664,11.16,457.13,5425,78.71,5,96,No,Normal
M00144,72.22,3.01,76.88,2063,9.68,433.86,8649,89.92,2,131,No,Normal
M00145,73.12,4.91,94.62,2090,5.73,407.5,2379,62.21,3,64,No,Normal
M00146,79.38,6.51,105.13,1766,9.95,410,4415,65.4,1,89,No,Fault
M00147,55.16,2.4,68.84,3299,10.68,413.41,3357,60.85,4,124,No,Normal
M00148,54.15,4.23,68.77,3583,5.65,391.31,5568,51.35,3,212,No,Normal
M00149,76.26,1.38,85.42,1395,3.28,441.3,6165,28.59,6,77,Yes,Normal
M00150,73.56,3.79,55.94,3995,6.1,435.79,9865,62.36,1,206,No,Normal
M00151,73.01,4.56,78.77,2792,8.26,427.72,1883,100,3,110,No,Normal
M00152,74.16,2.96,60.7,2988,10.82,421.79,1352,62.81,4,32,No,Normal
M00153,61.84,3.68,104.17,1843,6.45,386.49,5771,46.91,2,124,Yes,Normal
M00154,72.79,1.97,74.23,3659,9.78,429.12,6364,79.31,0,43,Yes,Normal
M00155,73.52,4.64,108.14,2930,2,418.61,4073,64.55,1,160,No,Normal
M00156,61.43,6.4,100.59,3540,8.91,471.06,5385,78.79,4,65,Yes,Fault
M00157,92.39,2.53,75.95,3594,7.56,378.79,4555,75.16,1,152,No,Normal
M00158,75.69,3.38,69.99,3668,13.33,394.75,5977,63.43,1,81,No,Fault
M00159,55.7,5.4,82.29,2379,4.15,370.57,3486,70.16,1,28,No,Normal
M00160,77.88,6.68,83.53,2665,8.47,408.9,8374,95.36,2,99,No,Fault
M00161,58.3,1.81,89.85,2402,4.13,366.25,2713,65.45,3,87,Yes,Normal
M00162,79.45,4.2,74.13,3382,7.24,448.19,8354,94.3,3,79,No,Normal
M00163,83.9,5.01,95.45,3016,4.59,445.58,4498,77.3,6,106,No,Normal
M00164,60.15,4.32,88.71,3495,13.79,410.53,11935,84.43,9,95,No,Fault
M00165,81.56,0.5,80.23,3523,7.68,386.62,6782,80.72,1,166,Yes,Normal
M00166,74.95,5.4,75.03,1677,8.01,372.33,4265,63.23,4,197,No,Normal
M00167,79.86,7.23,82.41,3678,8.4,395.29,4239,91.8,2,329,No,Fault
M00168,92.76,4.71,73.56,3418,5.9,432.51,8244,76.29,3,311,No,Fault
M00169,67.06,2.64,85.82,2560,10.93,392.96,7635,58.74,1,176,No,Normal
M00170,60.96,3.58,86.2,3027,9.97,468.44,7003,44.6,1,223,No,Normal
M00171,59.33,7.69,88.66,2720,10.61,456.74,6722,81.96,3,131,No,Fault
M00172,60.21,6.14,109.73,3200,5.7,415.02,2652,39.91,3,66,No,Normal
M00173,69.07,5.65,83.15,2559,11.11,402.07,11323,53.09,0,153,No,Fault
M00174,74.09,5.14,99.06,3111,10.85,399.06,4459,45.66,3,40,No,Normal
M00175,73.32,3.31,88.21,2844,7.97,459.75,8274,83.48,5,64,No,Normal
M00176,79.93,4.14,81.66,2519,10.56,396.61,2711,76.4,1,82,No,Normal
M00177,70.16,4.36,83.33,2924,9.13,441.16,3786,73.33,3,119,Yes,Normal
M00178,87.44,5.49,84.18,4500,4.83,415.61,4074,72.42,0,78,No,Fault
M00179,66.82,7.22,88.92,2354,8.08,434.98,6728,70.86,8,212,Yes,Normal
M00180,102.64,6.51,71.57,2638,7.39,392.03,6245,97.76,1,243,No,Fault
M00181,77.51,1.95,64.49,2366,8.7,405.68,2607,43.73,1,137,No,Normal
M00182,59.71,4.9,94.16,2434,10.85,414.32,5743,91.05,3,155,Yes,Fault
M00183,57.15,5.83,97.57,3330,4.72,397.32,4947,66.24,1,39,Yes,Normal
M00184,75.79,5.61,95.44,3265,7.48,449.98,12000,99.31,4,159,Yes,Fault
M00185,67.32,3.37,87.17,2796,6.61,393.6,4333,77.41,3,123,No,Normal
M00186,78.57,9.75,95.74,3467,6.71,398.84,5719,85.3,1,278,No,Fault
M00187,75.68,2.2,94.99,3316,6.61,453.04,10721,74.26,1,88,No,Fault
M00188,69.13,2.55,96.03,2694,8.66,447.62,5486,50.31,3,111,Yes,Normal
M00189,59.84,4.92,72.97,1803,9.7,459.46,5207,69.28,5,273,No,Normal
M00190,51.82,8.31,69.64,3339,9.3,361.57,3476,69.41,1,89,No,Fault
M00191,64.64,2.99,79.56,2910,8.93,420.62,2547,79.3,7,91,No,Normal
M00192,80.28,4.02,84.76,2814,9.93,417.53,5037,80.2,1,96,No,Fault
M00193,72.57,6.44,81.61,2497,13.97,399.27,8582,87.27,5,33,No,Fault
M00194,55.05,4.47,58.73,3284,8.81,424.08,2186,78.75,3,142,Yes,Normal
M00195,72.08,3.9,109.1,3027,10.85,406,5230,66.37,1,66,No,Normal
M00196,74.62,5.52,81.16,2646,10.72,419.54,8489,52.11,3,152,No,Fault
M00197,59.39,4.99,87.42,2003,12.59,480,2387,81.78,2,25,No,Normal
M00198,71.84,6.35,102.42,3494,9.79,423.88,3058,46.73,2,155,Yes,Normal
M00199,70.7,6.82,52.17,3193,6.56,425.06,5369,75.93,7,63,No,Normal
M00200,56.28,5.05,77.84,2966,9.2,437.99,5349,86.78,4,162,No,Normal
M00201,74.29,5.03,79.58,1073,9.08,420.06,7260,75.65,2,21,No,Normal
M00202,76.73,4.89,80.29,2775,10.37,384.26,3246,53.01,4,197,No,Normal
M00203,83,5.38,82.57,2643,6.49,368.89,9234,65.27,2,47,No,Normal
M00204,82.65,4.6,105.26,2398,11.41,414.18,4882,68.83,1,140,Yes,Fault
M00205,53.47,4.5,94.43,3290,8.51,407.46,3930,67.54,1,78,No,Normal
M00206,58.75,6.65,98.41,3265,10.43,360.02,10587,73.9,4,46,No,Fault
M00207,76.18,7.23,85.66,3084,9.21,460.62,8424,82.26,0,135,No,Fault
M00208,76.17,1.79,65.41,3475,8.78,418,3513,62.55,4,152,Yes,Normal
M00209,76.18,4.52,55.88,2136,9.04,455.3,6562,79.82,2,163,No,Fault
M00210,115,3.26,63.59,2505,10.05,352.51,6561,77.41,6,62,Yes,Fault
M00211,76.85,3.94,90.04,2849,13,455.84,7350,84.69,4,254,No,Fault
M00212,83.63,5.22,85.44,2396,3.86,401.41,6381,61.01,4,55,No,Normal
M00213,81.45,5.7,82.06,3273,9.74,450.26,12000,71.95,5,32,No,Fault
M00214,77.82,4.3,79.84,2461,8.6,421.02,7366,60.41,3,66,No,Normal
M00215,66.22,1.06,113.16,3644,8.09,427.69,6205,65.46,0,110,No,Normal
M00216,79.11,2.76,73.48,2195,3.06,427.73,6746,59.64,5,68,Yes,Normal
M00217,60.73,6.11,97.99,4186,9.83,403.1,6427,55.21,3,45,No,Normal
M00218,67.16,0.5,85.03,4119,8.21,396.9,12000,94.54,3,34,No,Fault
M00219,64.18,6.64,84.15,2738,6.58,404.89,6364,76.75,0,85,No,Fault
M00220,70.98,5.44,101.47,3545,8.6,373.79,9013,50.28,1,104,Yes,Fault
M00221,97.78,6.87,105.48,2540,7.83,401.54,7057,65.63,2,70,No,Fault
M00222,47.59,4.14,81.65,3459,4.49,395.49,3666,50.62,4,175,Yes,Normal
M00223,78.24,0.79,96.19,2686,8.7,373.11,5236,69.55,1,64,No,Normal
M00224,50.65,5.27,90.09,1964,9.83,427.84,6689,63.78,2,132,No,Fault
M00225,64.34,6.79,85.1,1000,7.24,415.22,7576,70.67,2,60,No,Normal
M00226,83.07,6.16,87.86,2625,9.1,421.89,6817,34.29,4,108,No,Normal
M00227,70.77,3.31,75.37,2981,8.75,434.53,12000,38.38,2,99,No,Normal
M00228,57.07,4.66,80.71,3665,10.9,408.34,2482,65.64,4,137,Yes,Normal
M00229,61.42,3.54,76.87,2824,8.26,388.72,6036,82.15,3,56,No,Normal
M00230,78.16,3.03,97.62,3452,10.34,423.51,3166,69.39,4,145,No,Fault
M00231,61.24,6.22,83.67,2505,7.78,333.18,3966,54.22,5,123,Yes,Normal
M00232,72.6,2.34,66.83,2581,13.02,411.97,4326,51.82,3,42,Yes,Normal
M00233,70.55,2.89,74.87,3485,7.5,436.42,2353,90.38,2,44,No,Normal
M00234,62.18,2.51,45,1198,6.92,444.31,6005,51.07,4,48,No,Normal
M00235,95.73,1.82,78.08,2808,8.27,400.18,2824,72.86,7,146,No,Normal
M00236,77.61,4.76,85.53,2540,6.83,352.24,5824,46.38,4,63,Yes,Normal
M00237,45.7,6.59,83.09,3684,5.63,341.27,8417,63.17,0,127,No,Normal
M00238,72.24,4.17,112.72,2457,10.17,432.87,8973,83.09,1,126,No,Fault
M00239,62.06,1.79,93.05,3136,2,405.09,4846,43.77,6,82,No,Normal
M00240,80.23,6.01,92.43,3399,6.85,471.48,4283,53.45,8,192,Yes,Fault
M00241,60.49,7.53,61.99,1830,5.41,375.49,3542,87.57,3,40,No,Normal
M00242,68.62,3.34,79.9,2709,8.83,424.59,2077,92.11,5,53,Yes,Normal
M00243,76.06,3.64,78.19,2519,3.47,461.55,3723,88.1,4,21,Yes,Normal
M00244,80.39,5.43,73.99,3415,9.76,420.78,4208,75.06,1,134,Yes,Fault
M00245,55.6,7.42,73.8,3239,10.01,370.43,8036,36.26,3,59,Yes,Fault
M00246,65.99,3.56,59.69,2648,4.74,480,10178,53.98,4,98,No,Normal
M00247,64.3,2.1,67.14,2119,8.94,459.26,5518,76.09,5,17,No,Normal
M00248,62.16,5.64,97.24,3475,9.69,408.64,7361,48.21,0,36,No,Normal
M00249,91.19,5.94,83,2756,10.66,437.93,12000,48.23,4,66,Yes,Fault
M00250,74.86,4.51,77.91,1748,5.12,438.23,11123,89.62,1,140,No,Normal
M00251,54.87,3.5,84.92,1804,4.8,432.97,3216,50.9,6,94,No,Normal
M00252,81.01,6.29,101.34,3084,11.96,376.31,5853,96.76,8,75,No,Fault
M00253,95.47,5.45,85.06,1971,6.61,424.08,3861,80.33,1,124,Yes,Fault
M00254,82.39,3.12,92.57,4009,7.29,455.9,10102,78.97,5,34,No,Fault
M00255,51.77,4.59,73.15,2191,9.96,429.13,2763,68.3,3,96,Yes,Normal
M00256,64.19,2.07,76.34,2800,5.81,426.12,2297,100,4,44,Yes,Normal
M00257,85.2,5.73,89.96,2903,7.89,399.97,1689,76.78,2,178,No,Fault
M00258,61.51,4.03,111.5,2326,10.55,389.69,5464,62.32,1,139,No,Normal
M00259,75.33,3.72,105.02,1344,5.23,370.97,6085,65.4,4,19,No,Normal
M00260,79.3,4.44,93.16,2924,7.35,436.21,7674,73.98,5,238,No,Normal
M00261,58.88,4.57,87.12,2310,5.91,408.82,5766,73.29,1,81,Yes,Normal
M00262,69.29,6.11,104.61,2876,6.72,377.44,12000,74.53,0,167,No,Fault
M00263,35,5.56,96.13,2720,11.23,442.34,7957,75.6,2,82,No,Fault
M00264,57.71,4.22,52.89,2971,11.73,398.57,5135,77.4,2,62,No,Normal
M00265,66.97,5.87,70.24,3815,9.09,390.98,4952,38.92,2,163,No,Normal
M00266,55.03,5.22,89.73,2445,9.72,401.11,6120,76.3,0,74,No,Normal
M00267,89.59,3.73,59.98,2495,9.66,409.59,1943,88.85,3,119,Yes,Fault
M00268,52.84,4.28,72.43,1717,6.95,427.82,4756,69.67,5,71,No,Normal
M00269,64.72,4.23,75.2,2673,9.05,390.49,5060,72.32,0,54,No,Normal
M00270,71.57,5.41,81.41,3066,5.52,443.29,5502,69.52,2,132,No,Normal
M00271,87.3,3.84,80.98,2486,6.3,428.56,6607,68.19,4,77,No,Normal
M00272,52.77,3.8,80.95,3071,8.3,400.59,7434,77.2,1,27,Yes,Fault
M00273,83.96,8.04,96.55,2685,6.06,410.53,12000,68.68,3,91,No,Fault
M00274,70.12,6.19,81.29,1954,5.57,403.17,4993,68.51,1,68,No,Normal
M00275,58.22,3.13,79.62,3003,6.86,416.84,4133,63.02,0,88,Yes,Normal
M00276,75.55,5.53,66.11,2666,11.14,457.56,4570,54.15,4,169,No,Normal
M00277,72.39,4.71,99.34,2880,12.08,402.88,3994,39.99,1,235,Yes,Fault
M00278,62.8,5.2,75.6,2431,8.43,420.31,3345,63.93,5,144,No,Normal
M00279,70.84,4.75,69.78,2374,9.84,395.44,6534,60.89,1,62,No,Fault
M00280,65.38,6.64,87.98,2902,7.2,429.89,8128,98.09,2,98,No,Fault
M00281,71.36,5.12,74.26,2650,3.75,422.74,1772,77.47,3,52,No,Normal
M00282,77.95,4.39,77.64,3921,6.44,452.23,1869,65.23,3,153,No,Normal
M00283,89.03,6.38,88.62,3319,7.79,391.78,2348,72.23,3,140,No,Fault
M00284,55.15,4.92,80.43,3154,8.82,434.34,5752,71.86,6,60,No,Normal
M00285,95.6,4.72,117.36,2685,8.27,450.39,3769,84.06,6,123,No,Fault
M00286,46.57,5.07,83.95,1483,7.85,402.75,7424,59.53,3,101,No,Normal
M00287,68.18,4.33,93.65,2275,7.18,411.45,5068,79.96,2,116,Yes,Normal
M00288,77.06,4.52,57.82,2379,9.29,420.34,4146,53.9,5,95,No,Normal
M00289,73.37,3.44,72.95,2621,5.36,408.38,3910,63.56,3,147,No,Normal
M00290,62.53,3.15,69.78,2778,10.34,419.96,9086,50.44,5,136,No,Normal
M00291,67.5,2.7,71.64,3226,7.15,433.86,4109,43.8,4,6,Yes,Normal
M00292,64.08,1.99,90.82,2978,13.25,411.81,3926,100,6,132,No,Normal
M00293,62.93,2.92,99.5,3553,7.77,411.59,4261,74.54,2,126,No,Normal
M00294,80.2,4.19,89.82,2597,7.4,422.47,7075,69.69,2,72,No,Fault
M00295,74.28,4.69,81.83,2967,7.21,403.82,9442,57.66,3,142,No,Normal
M00296,61.69,4.01,76.17,3023,7.42,405.21,3925,87.08,2,221,Yes,Normal
M00297,80.8,0.5,100.59,2960,9.9,389.83,3972,73.99,3,115,No,Normal
M00298,73.69,7.33,114,3633,8.4,413.82,9491,64.92,3,54,No,Fault
M00299,79.75,6.46,86.89,3322,10.77,427.54,3687,46.63,1,46,Yes,Normal
M00300,77.56,5.3,98.15,1942,9.57,407.46,2610,89.57,1,248,No,Fault
M00301,60.05,7.93,89.81,2726,8.57,393.34,7150,66.4,5,196,No,Fault
M00302,63.28,2.74,95.58,2791,9.36,412.31,6630,55.87,1,110,No,Normal
M00303,78.97,7.9,68.7,4199,11.25,426.12,4397,64.02,7,114,No,Fault
M00304,77.32,2.76,78.17,2586,10.01,418.58,8675,97.94,3,62,Yes,Fault
M00305,69.75,4.93,90.54,2161,9.15,477.43,2306,86.72,1,114,No,Normal
M00306,71.41,2.21,101.97,3085,9.47,396.62,11582,62.12,2,127,Yes,Fault
M00307,85.33,4.53,73.55,3123,5.85,410.79,5793,100,1,77,Yes,Normal
M00308,62.9,5.2,56.53,2752,14.41,436.82,12000,71.55,3,46,Yes,Fault
M00309,76.57,4.22,78.02,2657,9.71,395.55,6354,41.62,9,119,No,Normal
M00310,67.57,5.78,99.14,3417,9.94,468.99,2193,69.3,2,103,No,Fault
M00311,67.39,4.68,62.83,2245,8.43,415.13,5493,58.94,0,35,No,Normal
